year,monthreported,category,dayofweek,timeofday,location,bikebrand,lock,registered,propertyvalue
10,March,theft bicycle,Friday,Unknown,SANTA CATALINA,Raleigh,Not listed,Yes,50
10,December,theft bicycle,Friday,Unknown,ANACAPA,Bianchi,U-Lock,Yes,50
10,January,theft bicycle,Friday,Unknown,"MIRANDA, LAS ENCINAS",Electra,Cable Lock,Yes,65
10,October,theft bicycle,Friday,0800-1600,DAVIDSON LIBRARY,Huffy,Cable Lock,Yes,90
10,October,theft bicycle,Friday,0800-1600,STUDENT RESOURCES BLDG.,Diamondback,Not Locked,No,100
10,January,theft bicycle,Friday,1600-2400,ANACAPA HALL,Huffy,U-Lock,Yes,100
10,January,theft bicycle,Friday,0800-1600,BROIDA HALL,Unknown,U-Lock,Yes,100
10,May,theft bicycle,Friday,2400-0800,ANACAPA,Pacific,Cable Lock,No,115
10,October,theft bicycle,Friday,2400-0800,SANTA CATALINA,Urban,U-Lock,Yes,140
10,January,theft bicycle,Friday,0800-1600,DAVIDSON LIBRARY,Pantera,Not Locked,Yes,160
10,October,theft bicycle,Friday,0800-1600,ANACAPA,Magna,Cable Lock,Yes,175
10,October,theft bicycle,Friday,1600-2400,HARDER STADIUM,Pantera,U-Lock,Yes,175
10,December,theft bicycle,Friday,2400-0800,SANTA CATALINA,Cannondale,U-Lock,No,320
10,April,theft bicycle,Friday,0800-1600,HSSB,Fuji,Cable Lock,No,330
10,April,theft bicycle,Friday,Unknown,UCEN,Unknown,Cable Lock,No,340
10,May,theft bicycle,Friday,Unknown,SANTA CATALINA,Alpha,U-Lock,Yes,530
10,March,theft bicycle,Friday,0800-1600,PHELPS HALL,Specialized,Not Locked,No,3000
10,September,theft bicycle,Monday,0800-1600,NOBLE HALL,Urban,U-Lock,Yes,65
10,September,theft bicycle,Monday,0800-1600,"ARGUELLO, LAS ENCINAS QUAD",Huffy,Cable Lock,Yes,70
10,October,theft bicycle,Monday,2400-0800,SANTA CATALINA,Trek,Cable Lock,Yes,70
10,March,theft bicycle,Monday,1600-2400,LIBRARY,Unknown,Not Locked,Yes,75
10,May,theft bicycle,Monday,1600-2400,BROIDA,Schwinn,Cable Lock,Yes,85
10,November,theft bicycle,Monday,0800-1600,DAVIDSON LIBRARY,Motobecane,Cable Lock,No,90
10,February,theft bicycle,Monday,0800-1600,KERR HALL,Urban,Not Locked,Yes,120
10,December,theft bicycle,Monday,1600-2400,EVENTSCENTER,Unknown,U-Lock,No,125
10,February,theft bicycle,Monday,0800-1600,SANTA YNEZ,GNC,U-Lock,Yes,175
10,December,theft bicycle,Monday,1600-2400,CAMPBELL HALL,Schwinn,Cable Lock,No,210
10,March,theft bicycle,Monday,0800-1600,SANTA CATALINA,Schwinn,U-Lock,Yes,220
10,April,theft bicycle,Monday,Unknown,EVENTS CENTER,Urban,U-Lock,Yes,240
10,November,theft bicycle,Monday,1600-2400,ENGII,Trek,Cable Lock,No,300
10,November,theft bicycle,Monday,2400-0800,SAN NICOLAS,Electra,Not Locked,Yes,300
10,April,theft bicycle,Monday,2400-0800,SANTA CATALINA,Fuji,U-Lock,Yes,300
10,May,theft bicycle,Monday,0800-1600,IV THEATRE,Unknown,Cable Lock,No,310
10,October,theft bicycle,Monday,0800-1600,STUDENT HEALTH,KHS,U-Lock,No,330
